所有的模块，模糊搜索，包含关系就屏蔽	过滤词汇	
402	.om	
403	.pa	
404	.pe	
405	.pf	
406	.pg	
407	.ph	
408	.pk	
409	.pl	
410	.pm	
411	.pn	
412	.pr	
413	.pt	
414	.pw	
415	.py	
416	.qa	
417	.re	
418	.ro	
419	.ru	
420	.rw	
421	.sa	
422	.sb	
423	.sc	
424	.sd	
425	.se	
426	.sg	
427	.sh	
428	.si	
429	.sj	
430	.sk	
431	.sl	
432	.sm	
433	.sn	
434	.so	
435	.sr	
436	.st	
437	.su	
438	.sy	
439	.sz	
440	.tc	
441	.td	
442	.tf	
443	.tg	
444	.th	
445	.tj	
446	.tk	
447	.tm	
448	.tn	
449	.to	
450	.tp	
451	.tr	
452	.tt	
453	.tw	
454	.tz	
455	.ua	
456	.ug	
457	.uk	
458	.us	
459	.uy	
460	.va	
461	.vc	
462	.ve	
463	.vg	
464	.vn	
465	.vu	
466	.wf	
467	.ws	
468	.ye	
469	.yu	
470	.za	
471	.zm	
472	.zr	
473	.zw	
474	R.O.C.	
475	ROC	
476	SOHU	
477	SARS	
478	非典	
479	731	
480	七三一	
481	大法	
482	法轮大法	
483	法輪大法	
484	圆满	
485	圓滿	
486	自焚	
487	政治	
488	国民党	
489	國民黨	
490	邓小平	
491	鄧小平	
492	拉登	
493	李洪志	
494	李宏志	
495	李红志	
496	李紅志	
497	李鹏	
498	李鵬	
499	毛澤東	
500	萨达姆	
501	薩達姆	
502	周恩来	
503	周恩來	
504	朱镕基	
505	朱鎔基	
506	温家宝	
507	溫家寶	
508	希特勒	
509	墨索里尼	
510	山本五十六	
511	东条英机	
512	東條英機	
513	天皇	
514	立法委员	
515	立法委員	
516	民国	
517	民國	
518	青天白日	
519	三民主义	
520	三民主義	
521	台湾	
522	臺灣	
523	中央人民共和国	
524	中央人民共和國	
525	国务院	
526	國務院	
527	党中央	
528	黨中央	
529	中央军委	
530	中央軍委	
531	主义	
532	主義	
533	封建	
534	靖国	
535	靖國	
536	神社	
537	法西斯	
538	纳粹	
539	納粹	
540	盖世太保	
541	蓋世太保	
542	集中营	
543	集中營	
544	恐怖	
545	贪污	
546	貪污	
547	腐败	
548	腐敗	
549	杀人	
550	殺人	
551	抢劫	
552	搶劫	
553	吸毒	
554	毒品	
555	犯罪	
556	福尔摩莎	
557	福爾摩莎	
558	张潮阳	
559	張潮陽	
560	告示	
561	工作人員	
562	工作人员	
563	公告	
564	好消息	
565	客戶服務	
566	客服	
567	客户服务	
568	中獎	
569	中奖	
570	礼品	
571	禮品	
572	赠品	
573	贈品	
574	派送	
575	發送	
576	发奖	
577	發獎	
578	奖品	
579	獎品	
580	派发	
581	派發	
582	抽奖	
583	抽獎	
584	同性恋	
585	同性戀	
587	變態	
588	娼妓	
589	妓女	
590	淫	
591	你妈	
592	你媽	
593	强奸	
594	強姦	
595	傻逼	
596	%国民党%	
597	%國民黨%	
598	%江%泽%民%	
599	%江%澤%民%	
600	%江%贼%民%	
601	%江%賊%民%	
602	%江%择%民%	
603	%江%擇%民%	
604	%胡%锦%涛%	
605	%胡%錦%濤%	
606	%胡%紧%掏%	
607	%胡%緊%掏%	
608	%胡%紧%套%	
609	%胡%緊%套%	
610	胡XX	
611	%朱%容%基%	
612	%朱%容%鸡%	
613	%朱%容%雞%	
614	%猪%容%基%	
615	%豬%容%基%	
616	%李%鹏%	
617	%李%鵬%	
618	%李%岚%清%	
619	%李%嵐%清%	
620	%温%家%宝%	
621	%溫%家%寶%	
622	%乔%石%	
623	%喬%石%	
624	%黄%菊%	
625	%黃%菊%	
626	%曾%庆%红%	
627	%曾%慶%紅%	
628	%贾%庆%林%	
629	%賈%慶%林%	
630	%王%宝%森%	
631	%王%寶%森%	
632	%董%建%华%	
633	%董%建%華%	
634	%董%贱%华%	
635	%董%賤%華%	
636	%何%候%华%	
637	%何%候%華%	
638	%强%卫%	
639	%強%衛%	
640	%罗%干%	
641	%羅%幹%	
642	%骡%干%	
643	%騾%幹%	
644	%毛%泽%东%	
645	%毛%澤%東%	
646	毛XX	
647	%邓%小%平%	
648	%鄧%小%平%	
649	%周%恩%来%	
650	%周%恩%來%	
651	%林%彪%	
652	%江%青%	
653	布什	
654	布希	
655	普京	
656	本·拉登	
657	安南	
658	孫楠	
659	晚年周恩来	
660	晚年周恩來	
661	gc365	
662	官逼民反	
663	一党专制	
664	一黨專制	
665	共匪	
666	中共	
667	警匪一家	
668	三个代婊	
669	三個代婊	
670	万税	
671	萬稅	
672	卖.国	
673	賣.國	
674	卖国	
675	賣國	
676	六月四日	
677	六.四	
678	43620	
679	天安门档案	
680	天安門檔案	
681	FLG	
682	F.L.G	
683	大法弟子	
684	多维新闻	
685	多維新聞	
686	大%FA弟%子	
687	李宏旨	
688	李弘旨	
689	梅花网	
690	梅花網	
691	动乱	
692	動亂	
693	暴乱	
694	暴亂	
695	八九	
696	法%轮%功	
697	法%輪%功	
698	%六%四%	
699	liusi	
700	真相	
701	一个事实	
702	一個事實	
703	游行	
704	遊行	
705	民主	
706	4.25	
707	回教	
708	伊斯兰	
709	伊斯蘭	
710	穆斯林	
711	社. 会. 正. 义. 力. 量	
712	社. 會. 正. 義. 力. 量	
713	法(轮)功	
714	法(輪)功	
715	劳+教+所	
716	勞+教+所	
717	台独	
718	台獨	
719	台湾独立	
720	臺灣獨立	
721	陈水扁	
722	陳水扁	
723	李登辉	
724	李登輝	
725	东亚病夫	
726	東亞病夫	
727	大东亚共荣	
728	大東亞共榮	
729	%6%4%	
730	政变	
731	政變	
732	镇压	
733	鎮壓	
734	反动	
735	反動	
736	敬国神社	
737	敬國神社	
738	中华民国	
739	中華民國	
740	中华人民共和国	
741	中華人民共和國	
742	卖党求荣	
743	賣党求榮	
744	卖国求荣	
745	賣國求榮	
746	红卫兵	
747	紅衛兵	
748	十年动乱	
749	十年動亂	
750	反革命	
751	转法轮	
752	轉法輪	
753	东突	
754	東突	
755	东突组织	
756	東突組織	
757	分裂祖国	
758	分裂祖國	
759	莫索里尼	
760	莫索裡尼	
761	军国主义	
762	軍國主義	
763	%8%9%	
764	china	
765	四人帮	
766	四人幫	
767	天皇陛下	
768	邪教	
769	基地组织	
770	基地組織	
771	乳头	
772	乳頭	
773	火棒	
774	肉棍子	
775	阴户	
776	陰戶	
777	湿透的内裤	
778	濕透的內褲	
779	两腿之间	
780	兩腿之間	
781	欲火焚身	
782	插深些	
783	硬挺	
786	口交	
787	肛交	
788	阴唇	
789	陰唇	
790	小肉粒	
791	阴毛	
792	陰毛	
793	阴核	
794	陰核	
795	干你	
796	幹你	
797	操比	
798	操逼	
799	后庭	
800	後庭	
801	双峰微颤	
802	雙峰微顫	
803	贝肉	
804	貝肉	
805	玉杵	
806	密洞	
807	抽插	
808	乳波臀浪	
809	淫语连连	
810	淫語連連	
811	小穴	
812	圣女峰	
813	聖女峰	
814	乳交	
815	打飞机	
816	打飛機	
817	想上你	
818	狗日	
819	操你妈	
820	操你媽	
821	鸡奸	
822	雞奸	
823	妈逼	
824	媽逼	
825	日你妈	
826	日你媽	
827	性交	
828	性爱	
829	性愛	
830	做爱	
831	做愛	
832	轮奸	
833	輪奸	
834	淫荡	
835	淫蕩	
836	荡妇	
837	蕩婦	
838	奸夫淫妇	
839	姦夫淫婦	
840	波霸	
841	大波波	
842	乳房	
843	奶头	
844	奶子	
845	鸡鸡	
846	雞雞	
847	肉洞	
848	阴茎	
849	陰莖	
850	操XX	
851	性虐待	
852	2逼	
853	你大爷	
854	你大爺	
855	你二大爷	
856	你二大爺	
857	抽你丫的	
858	你姥姥的	
859	你爷爷的	
860	你爺爺的	
861	你妈的	
862	你媽的	
863	手淫	
864	三陪	
865	三陪女	
866	坐台的	
867	淫欲	
868	操你八辈祖宗	
869	操你八輩祖宗	
870	贱人	
871	賤人	
872	淫贱	
873	淫賤	
874	推油	
875	淫叫	
876	肛门	
877	肛門	
878	屁眼	
879	肉穴	
880	生孩子没屁眼	
881	生孩子沒屁眼	
882	弓虽女干	
883	弓雖女幹	
884	睾丸	
885	月经不调	
886	月經不調	
887	受虐狂	
888	射精	
889	吃屎	
890	吃大便	
891	逼毛	
892	比毛	
893	叫鸡	
894	叫雞	
895	叫小姐	
896	性欲	
897	SM	
898	TNND	
899	TMD	
900	NND	
901	SB	
902	BC	
903	SHIT	
904	SUCK	
905	DICK	
906	ASS	
907	PUSSY	
908	FUCK YOU	
909	game master	
910	ｇｍ	
911	ＧＡＭＥ　ｍａｓｔｅｒ	
912	%刀%剑%	
913	%刀%劍%	
914	%管%理%员%	
915	%管%理%員%	
916	%东%亚%圣战%	
917	%東%亞%聖戰%	
918	%李%宏%志	
919	%张%朝%陽%	
920	%張%朝%陽%	
926	01CDK	
927	02CDK	
928	十七大	
929	开利财经	
930	開利財經	
931	宋平	
932	省市换班	
933	省市換班	
934	胡温	
935	胡溫	
936	霍英东	
937	霍英東	
938	$G	
939	$R	
940	$N	
941	信息	
942	获奖	
943	獲獎	
944	颁奖	
945	頒獎	
946	客户	
947	客戶	
948	送礼	
949	送禮	
950	派放	
951	温馨	
952	溫馨	
953	www	
954	．com	
955	。com	
956	，com	
957	",com"	
958	．net	
959	。net	
960	，net	
961	",net"	
962	．org	
963	。org	
964	，org	
965	",org"	
966	．edu	
967	。edu	
968	，edu	
969	",edu"	
970	．gov	
971	。gov	
972	，gov	
973	",gov"	
974	慰安妇	
975	慰安婦	
976	支那	
977	汉奸	
978	漢奸	
979	皇军	
980	皇軍	
981	線上	
982	新疆独立	
983	新疆獨立	
984	新疆 独立	
985	新疆 獨立	
986	台湾 独立	
987	臺灣 獨立	
988	台 湾 独 立	
989	台 灣 獨 立	
990	台湾万岁	
991	臺灣萬歲	
992	台湾 万岁	
993	臺灣 萬歲	
994	台 湾 万 岁	
995	台 灣 萬 歲	
996	新 疆 独 立	
997	新 疆 獨 立	
998	西藏独立	
999	西藏獨立	
1000	西藏 独立	
1001	西藏 獨立	
1002	西 藏 独 立	
1003	西 藏 獨 立	
1004	幸运玩家	
1005	幸運玩家	
1006	幸 运 玩 家	
1007	幸 運 玩 家	
1008	中奖玩家	
1009	中獎玩家	
1010	中 奖 玩 家	
1011	中 獎 玩 家	
1012	法 轮 功	
1013	法 輪 功	
1014	法轮 功	
1015	法輪 功	
1016	法 轮功	
1017	法 輪功	
1018	系&统 	
1019	系&統	
1020	系！统	
1021	系！統	
1022	系@统	
1023	系@統	
1024	系#统	
1025	系#統	
1026	系￥统	
1027	系￥統	
1028	系%统	
1029	系%統	
1030	系……统	
1031	系……統	
1032	系（统	
1033	系（統	
1034	系）统	
1035	系）統	
1036	系。统	
1037	系。統	
1038	系;统	
1039	系;統	
1040	系~统	
1041	系~統	
1042	系：统	
1043	系：統	
1044	系“统	
1045	系“統	
1046	系'统	
1047	系'統	
1048	"系,统"	
1049	"系,統"	
1050	系<统	
1051	系<統	
1052	系>统	
1053	系>統	
1054	系^统	
1055	系^統	
1056	系、统	
1057	系、統	
1058	系-统	
1059	系-統	
1060	系=统	
1061	系=統	
1062	系.统	
1063	系.統	
1064	系\统	
1065	系\統	
1066	系/统	
1067	系/統	
1068	系【统 	
1069	系【統	
1070	系】统 	
1071	系】統	
1072	系{统 	
1073	系{統	
1074	系}统 	
1075	系}統	
1076	&系&统 	
1077	&系&統	
1078	&系！统	
1079	&系！統	
1080	&系@统	
1081	&系@統	
1082	&系#统	
1083	&系#統	
1084	&系￥统	
1085	&系￥統	
1086	&系%统	
1087	&系%統	
1088	&系……统	
1089	&系……統	
1090	&系（统	
1091	&系（統	
1092	&系）统	
1093	&系）統	
1094	&系。统	
1095	&系。統	
1096	&系;统	
1097	&系;統	
1098	&系~统	
1099	&系~統	
1100	&系：统	
1101	&系：統	
1102	&系“统	
1103	&系“統	
1104	&系'统	
1105	&系'統	
1106	"&系,统"	
1107	"&系,統"	
1108	&系<统	
1109	&系<統	
1110	&系>统	
1111	&系>統	
1112	&系【统 	
1113	&系【統	
1114	&系】统 	
1115	&系】統	
1116	&系{统 	
1117	&系{統	
1118	&系}统 	
1119	&系}統	
1120	！系&统 	
1121	！系&統	
1122	！系！统	
1123	！系！統	
1124	！系@统	
1125	！系@統	
1126	！&系#统	
1127	！&系#統	
1128	！系￥统	
1129	！系￥統	
1130	！系%统	
1131	！系%統	
1132	！系……统	
1133	！系……統	
1134	！系（统	
1135	！系（統	
1136	！系）统	
1137	！系）統	
1138	！系。统	
1139	！系。統	
1140	！系;统	
1141	！系;統	
1142	！系~统	
1143	！系~統	
1144	！系：统	
1145	！系：統	
1146	！系“统	
1147	！系“統	
1148	！系'统	
1149	！系'統	
1150	"！系,统"	
1151	"！系,統"	
1152	！系<统	
1153	！系<統	
1154	！系>统	
1155	！系>統	
1156	！系【统 	
1157	！系【統	
1158	！系】统 	
1159	！系】統	
1160	！系{统 	
1161	！系{統	
1162	！系}统  	
1163	！系}統	
1164	@系&统 	
1165	@系&統	
1166	@系！统	
1167	@系！統	
1168	@系@统	
1169	@系@統	
1170	@系#统	
1171	@系#統	
1172	@系￥统	
1173	@系￥統	
1174	@系%统	
1175	@系%統	
1176	@系……统	
1177	@系……統	
1178	@系（统	
1179	@系（統	
1180	@系）统	
1181	@系）統	
1182	@系。统	
1183	@系。統	
1184	@系;统	
1185	@系;統	
1186	@系~统	
1187	@系~統	
1188	@系：统	
1189	@系：統	
1190	@系“统	
1191	@系“統	
1192	@系'统	
1193	@系'統	
1194	"@系,统"	
1195	"@系,統"	
1196	@系<统	
1197	@系<統	
1198	@系>统	
1199	@系>統	
1200	@系【统 	
1201	@系【統	
1202	@系】统 	
1203	@系】統	
1204	@系{统 	
1205	@系{統	
1206	@系}统 	
1207	@系}統	
1208	#系&统 	
1209	#系&統	
1210	#系！统	
1211	#系！統	
1212	#系@统	
1213	#系@統	
1214	#系#统	
1215	#系#統	
1216	#系￥统	
1217	#系￥統	
1218	#系%统	
1219	#系%統	
1220	#系……统	
1221	#系……統	
1222	#系（统	
1223	#系（統	
1224	#系）统	
1225	#系）統	
1226	#系。统	
1227	#系。統	
1228	#系;统	
1229	#系;統	
1230	#系~统	
1231	#系~統	
1232	#系：统	
1233	#系：統	
1234	#系“统	
1235	#系“統	
1236	#系'统	
1237	#系'統	
1238	"#系,统"	
1239	"#系,統"	
1240	#系<统	
1241	#系<統	
1242	#系>统	
1243	#系>統	
1244	#系【统 	
1245	#系【統	
1246	#系】统 	
1247	#系】統	
1248	#系{统 	
1249	#系{統	
1250	#系}统 	
1251	#系}統	
1252	%系&统 	
1253	%系&統	
1254	%系！统	
1255	%系！統	
1256	%系@统	
1257	%系@統	
1258	%系#统	
1259	%系#統	
1260	%系￥统	
1261	%系￥統	
1262	%系%统	
1263	%系%統	
1264	%系……统	
1265	%系……統	
1266	%系（统	
1267	%系（統	
1268	%系）统	
1269	%系）統	
1270	%系。统	
1271	%系。統	
1272	%系;统	
1273	%系;統	
1274	%系~统	
1275	%系~統	
1276	%系：统	
1277	%系：統	
1278	%系“统	
1279	%系“統	
1280	%系'统	
1281	%系'統	
1282	"%系,统"	
1283	"%系,統"	
1284	%系<统	
1285	%系<統	
1286	%系>统	
1287	%系>統	
1288	%系【统 	
1289	%系【統	
1290	%系】统 	
1291	%系】統	
1292	%系{统 	
1293	%系{統	
1294	%系}统 	
1295	%系}統	
1296	*系~統	
1297	^系&统 	
1298	^系&統	
1299	^系！统	
1300	^系！統	
1301	^系@统	
1302	^系@統	
1303	^系#统	
1304	^系#統	
1305	^系￥统	
1306	^系￥統	
1307	^系%统	
1308	^系%統	
1309	^系……统	
1310	^系……統	
1311	^系（统	
1312	^系（統	
1313	^系）统	
1314	^系）統	
1315	^系。统	
1316	^系。統	
1317	^系;统	
1318	^系;統	
1319	^系~统	
1320	^系~統	
1321	^系：统	
1322	^系：統	
1323	^系“统	
1324	^系“統	
1325	^系'统	
1326	^系'統	
1327	"^系,统"	
1328	"^系,統"	
1329	^系<统	
1330	^系<統	
1331	^系>统	
1332	^系>統	
1333	^系【统 	
1334	^系【統	
1335	^系】统 	
1336	^系】統	
1337	^系{统 	
1338	^系{統	
1339	^系}统	
1340	^系}統	
1341	Q为	
1342	Q為	
1343	5173	
1344	AIDS	
1345	penis	
1346	sex	
1347	屙	
1348	爱滋	
1349	愛滋	
1350	淋病	
1351	梅毒	
1352	爱液	
1353	愛液	
1354	屄	
1355	臭机八	
1356	臭機八	
1357	臭鸡巴	
1358	臭雞巴	
1359	吹喇叭	
1360	吹箫	
1361	吹簫	
1362	催情药	
1363	催情藥	
1364	屌	
1365	龟头	
1366	龜頭	
1367	黄色	
1368	黃色	
1369	机八	
1370	機八	
1371	机巴	
1372	機巴	
1373	鸡八	
1374	雞八	
1375	机掰	
1376	機掰	
1377	鸡叭	
1378	雞叭	
1379	鸡掰	
1380	雞掰	
1381	奸	
1382	茎	
1383	莖	
1384	精液	
1385	精子	
1386	尻	
1387	滥交	
1388	濫交	
1389	乱交	
1390	亂交	
1391	卖淫	
1392	賣淫	
1393	嫖娼	
1394	强奸犯	
1395	強姦犯	
1396	情色	
1397	乳峰	
1398	乳晕	
1399	乳暈	
1400	色情	
1401	威而钢	
1402	威而鋼	
1403	威而柔	
1404	伟哥	
1405	偉哥	
1406	性高潮	
1407	性虐	
1409	颜射	
1410	顏射	
1411	阳物	
1412	陽物	
1413	一夜情	
1414	阴部	
1415	陰部	
1416	阴道	
1417	陰道	
1418	阴蒂	
1419	陰蒂	
1420	阴门	
1421	陰門	
1422	淫秽	
1423	淫穢	
1424	淫乱	
1425	淫亂	
1426	淫娃	
1427	淫液	
1428	淫汁	
1429	淫穴	
1430	淫洞	
1431	援交妹	
1432	梦遗	
1433	夢遺	
1434	阳痿	
1435	陽痿	
1436	早泄	
1437	早洩	
1438	奸淫	
1439	姦淫	
1440	刘少奇	
1441	劉少奇	
1442	朱德	
1443	彭德怀	
1444	彭德懷	
1445	林彪	
1446	刘伯承	
1447	劉伯承	
1448	陈毅	
1449	陳毅	
1450	贺龙	
1451	賀龍	
1452	聂荣臻	
1453	聶榮臻	
1454	罗荣桓	
1455	羅榮桓	
1456	徐向前	
1457	叶剑英	
1458	葉劍英	
1459	李大钊	
1460	李大釗	
1461	陈独秀	
1462	陳獨秀	
1463	孙中山	
1464	孫中山	
1465	孙逸仙	
1466	孫逸仙	
1467	Bitch	
1468	cao	
1469	kao	
1470	NMD	
1471	ri	
1472	K他命	
1473	白痴	
1474	白癡	
1475	笨蛋	
1476	婊子	
1477	操她妈	
1478	操她媽	
1479	操妳妈	
1480	操妳媽	
1481	操你	
1482	操他妈	
1483	操他媽	
1484	草你	
1485	肏	
1486	册那	
1487	冊那	
1488	侧那	
1489	側那	
1490	测拿	
1491	測拿	
1492	插	
1493	蠢猪	
1494	蠢豬	
1495	发骚	
1496	發騷	
1497	废物	
1498	廢物	
1499	干她妈	
1500	幹她媽	
1501	干妳	
1502	幹妳	
1503	干妳娘	
1504	幹妳娘	
1505	干你妈	
1506	幹你媽	
1507	干你妈B	
1508	幹你媽B	
1509	干你妈逼	
1510	幹你媽逼	
1511	干你娘	
1512	幹你娘	
1513	干他妈	
1514	幹他媽	
1515	狗娘养的	
1516	狗娘養的	
1517	贱货	
1518	賤貨	
1519	烂人	
1520	爛人	
1521	老母	
1522	老土	
1523	妈比	
1524	媽比	
1525	妈的	
1526	媽的	
1527	马的	
1528	馬的	
1529	妳老母的	
1530	妳娘的	
1531	你妈逼	
1532	你媽逼	
1533	破鞋	
1534	仆街	
1535	僕街	
1536	去她妈	
1537	去她媽	
1538	去妳的	
1539	去妳妈	
1540	去妳媽	
1541	去你的	
1542	去你妈	
1543	去你媽	
1544	去死	
1545	去他妈	
1546	去他媽	
1547	日你	
1548	赛她娘	
1549	賽她娘	
1550	赛妳娘	
1551	賽妳娘	
1552	赛你娘	
1553	賽你娘	
1554	赛他娘	
1555	賽他娘	
1556	骚货	
1557	騷貨	
1558	傻B	
1559	傻比	
1560	傻子	
1561	上妳	
1562	上你	
1563	神经病	
1564	神經病	
1565	屎	
1566	屎你娘	
1567	屎妳娘	
1568	他妈的	
1569	他媽的	
1570	王八蛋	
1571	我操	
1572	乡巴佬	
1573	鄉巴佬	
1574	猪猡	
1575	豬玀	
1576	尿	
1577	掯	
1578	骑你	
1579	騎你	
1580	湿了	
1581	濕了	
1582	操他	
1583	操她	
1584	骑他	
1585	騎他	
1586	骑她	
1587	騎她	
1588	欠骑	
1589	欠騎	
1590	欠人骑	
1591	欠人騎	
1592	来爽我	
1593	來爽我	
1594	来插我	
1595	來插我	
1596	干他	
1597	幹他	
1598	干她	
1599	幹她	
1600	干死	
1601	幹死	
1602	干爆	
1603	幹爆	
1604	干机	
1605	幹機	
1606	机叭	
1607	機叭	
1608	臭鸡	
1609	臭雞	
1610	臭机	
1611	臭機	
1612	览叫	
1613	覽叫	
1614	阳具	
1615	陽具	
1616	肉壶	
1617	肉壺	
1618	摸咪咪	
1619	“SUCK PENIS”	
1620	BLOW JOB	
1621	KISS MY ASS	
1622	干鸡	
1623	幹雞	
1624	干入	
1625	幹入	
1626	插你	
1627	爽你	
1628	干干	
1629	幹幹	
1630	干X	
1631	幹X	
1632	他干	
1633	他幹	
1634	干它	
1635	幹它	
1636	干牠	
1637	幹牠	
1638	干您	
1639	幹您	
1640	干汝	
1641	幹汝	
1642	干林	
1643	幹林	
1644	操林	
1645	干尼	
1646	幹尼	
1647	操尼	
1648	我咧干	
1649	我咧幹	
1650	干勒	
1651	幹勒	
1652	干我	
1653	幹我	
1654	干啦	
1655	幹啦	
1656	干爽	
1657	乾爽	
1658	欠干	
1659	欠幹	
1660	我干	
1661	我幹	
1662	来干	
1663	來幹	
1664	轮干	
1665	輪幹	
1666	干一干	
1667	幹一干	
1668	轮流干	
1669	輪流幹	
1670	援交	
1671	奸暴	
1672	再奸	
1673	我奸	
1674	奸你	
1675	奸他	
1676	奸她	
1677	奸一奸	
1678	淫湿	
1679	淫濕	
1680	鸡歪	
